Gruppe;Kennzahl;Wert;Bewertung
Run 15;Gesamtdauer ms;24,776;sehr schnell
Run 15;Final Placed Rooms;5;
Run 15;Open Sockets Pre-Cap;0;
Run 15;Error Cause;None;
Run 16;Varianten-ID;Capping;
Run 16;Success / Failure;true;Success
Run 16;Gesamtdauer ms;54,096;unproblematisch
Run 16;Final Placed Rooms;8;
Run 16;Open Sockets Pre-Cap;2;
Run 16;Error Cause;None;
Run 17;Varianten-ID;Capping;
Run 17;Success / Failure;true;Success
Run 17;Gesamtdauer ms;38,399;sehr schnell
Run 17;Final Placed Rooms;7;
Run 17;Open Sockets Pre-Cap;1;
Run 17;Error Cause;None;
Run 18;Varianten-ID;Capping;
Run 18;Success / Failure;true;Success
Run 18;Gesamtdauer ms;102,068;unproblematisch
Run 18;Final Placed Rooms;10;
Run 18;Open Sockets Pre-Cap;5;
Run 18;Error Cause;None;
Run 19;Varianten-ID;Capping;
Run 19;Success / Failure;true;Success
Run 19;Gesamtdauer ms;83,801;unproblematisch
Run 19;Final Placed Rooms;10;
Run 19;Open Sockets Pre-Cap;5;
Run 19;Error Cause;None;
Run 20;Varianten-ID;Capping;
Run 20;Success / Failure;true;Success
Run 20;Gesamtdauer ms;48,737;sehr schnell
Run 20;Final Placed Rooms;8;
Run 20;Open Sockets Pre-Cap;3;
Run 20;Error Cause;None;
Run 21;Varianten-ID;Capping;
Run 21;Success / Failure;false;Failure
Run 21;Gesamtdauer ms;80,181;unproblematisch
Run 21;Final Placed Rooms;13;
Run 21;Open Sockets Pre-Cap;6;
Run 21;Error Cause;OpenSocketsRemainingAfterCapping;
Run 22;Varianten-ID;Capping;
Run 22;Success / Failure;true;Success
Run 22;Gesamtdauer ms;35,673;sehr schnell
Run 22;Final Placed Rooms;6;
Run 22;Open Sockets Pre-Cap;0;
Run 22;Error Cause;None;
Run 23;Varianten-ID;Capping;
Run 23;Success / Failure;true;Success
Run 23;Gesamtdauer ms;41,569;sehr schnell
Run 23;Final Placed Rooms;7;
Run 23;Open Sockets Pre-Cap;2;
Run 23;Error Cause;None;
Run 24;Varianten-ID;Capping;
Run 24;Success / Failure;true;Success
