Gruppe;Kennzahl;Wert;Bewertung
Run 104;Success / Failure;true;Success
Run 104;Gesamtdauer ms;2597,001;teuer, Performance pruefen
Run 104;Final Placed Rooms;16;
Run 104;Open Sockets Pre-Cap;8;
Run 104;Error Cause;None;
Run 105;Varianten-ID;HighControl;
Run 105;Success / Failure;true;Success
Run 105;Gesamtdauer ms;2656,843;teuer, Performance pruefen
Run 105;Final Placed Rooms;17;
Run 105;Open Sockets Pre-Cap;7;
Run 105;Error Cause;None;
Run 106;Varianten-ID;HighControl;
Run 106;Success / Failure;true;Success
Run 106;Gesamtdauer ms;2805,038;teuer, Performance pruefen
Run 106;Final Placed Rooms;17;
Run 106;Open Sockets Pre-Cap;11;
Run 106;Error Cause;None;
Run 107;Varianten-ID;HighControl;
Run 107;Success / Failure;true;Success
Run 107;Gesamtdauer ms;2620,588;teuer, Performance pruefen
Run 107;Final Placed Rooms;17;
Run 107;Open Sockets Pre-Cap;7;
Run 107;Error Cause;None;
Run 108;Varianten-ID;HighControl;
Run 108;Success / Failure;true;Success
Run 108;Gesamtdauer ms;2784,4;teuer, Performance pruefen
Run 108;Final Placed Rooms;17;
Run 108;Open Sockets Pre-Cap;9;
Run 108;Error Cause;None;
Run 109;Varianten-ID;HighControl;
Run 109;Success / Failure;true;Success
Run 109;Gesamtdauer ms;2732,258;teuer, Performance pruefen
Run 109;Final Placed Rooms;15;
Run 109;Open Sockets Pre-Cap;6;
Run 109;Error Cause;None;
Run 110;Varianten-ID;HighControl;
Run 110;Success / Failure;true;Success
Run 110;Gesamtdauer ms;2460,619;teuer, Performance pruefen
Run 110;Final Placed Rooms;16;
Run 110;Open Sockets Pre-Cap;7;
Run 110;Error Cause;None;
Run 111;Varianten-ID;HighControl;
Run 111;Success / Failure;true;Success
Run 111;Gesamtdauer ms;2523,344;teuer, Performance pruefen
Run 111;Final Placed Rooms;18;
Run 111;Open Sockets Pre-Cap;11;
Run 111;Error Cause;None;
Run 112;Varianten-ID;HighControl;
Run 112;Success / Failure;true;Success
Run 112;Gesamtdauer ms;2678,031;teuer, Performance pruefen
Run 112;Final Placed Rooms;17;
Run 112;Open Sockets Pre-Cap;14;
Run 112;Error Cause;None;
Run 113;Varianten-ID;HighControl;
Run 113;Success / Failure;true;Success
Run 113;Gesamtdauer ms;2611,031;teuer, Performance pruefen
Run 113;Final Placed Rooms;14;
Run 113;Open Sockets Pre-Cap;3;
Run 113;Error Cause;None;
Run 114;Varianten-ID;HighControl;
Run 114;Success / Failure;true;Success
Run 114;Gesamtdauer ms;2407,696;teuer, Performance pruefen
Run 114;Final Placed Rooms;16;
Run 114;Open Sockets Pre-Cap;7;
Run 114;Error Cause;None;
Run 115;Varianten-ID;HighControl;
Run 115;Success / Failure;true;Success
Run 115;Gesamtdauer ms;2444,708;teuer, Performance pruefen
Run 115;Final Placed Rooms;16;
Run 115;Open Sockets Pre-Cap;7;
Run 115;Error Cause;None;
Run 116;Varianten-ID;HighControl;
Run 116;Success / Failure;true;Success
Run 116;Gesamtdauer ms;2419,539;teuer, Performance pruefen
Run 116;Final Placed Rooms;17;
Run 116;Open Sockets Pre-Cap;9;
Run 116;Error Cause;None;
Run 117;Varianten-ID;HighControl;
Run 117;Success / Failure;true;Success
Run 117;Gesamtdauer ms;2281,791;teuer, Performance pruefen
Run 117;Final Placed Rooms;16;
Run 117;Open Sockets Pre-Cap;6;
Run 117;Error Cause;None;
Run 118;Varianten-ID;HighControl;
Run 118;Success / Failure;true;Success
Run 118;Gesamtdauer ms;2171,168;teuer, Performance pruefen
Run 118;Final Placed Rooms;18;
Run 118;Open Sockets Pre-Cap;9;
Run 118;Error Cause;None;
Run 119;Varianten-ID;HighControl;
Run 119;Success / Failure;true;Success
Run 119;Gesamtdauer ms;2239,442;teuer, Performance pruefen
Run 119;Final Placed Rooms;15;
Run 119;Open Sockets Pre-Cap;7;
Run 119;Error Cause;None;
Run 120;Varianten-ID;HighControl;
Run 120;Success / Failure;true;Success
Run 120;Gesamtdauer ms;2843,846;teuer, Performance pruefen
Run 120;Final Placed Rooms;14;
Run 120;Open Sockets Pre-Cap;6;
Run 120;Error Cause;None;
Run 121;Varianten-ID;HighControl;
Run 121;Success / Failure;true;Success
Run 121;Gesamtdauer ms;2316,898;teuer, Performance pruefen
Run 121;Final Placed Rooms;16;
Run 121;Open Sockets Pre-Cap;8;
Run 121;Error Cause;None;
Run 122;Varianten-ID;HighControl;
Run 122;Success / Failure;true;Success
Run 122;Gesamtdauer ms;2193,162;teuer, Performance pruefen
Run 122;Final Placed Rooms;17;
Run 122;Open Sockets Pre-Cap;9;
Run 122;Error Cause;None;
Run 123;Varianten-ID;HighControl;
Run 123;Success / Failure;true;Success
Run 123;Gesamtdauer ms;2427,341;teuer, Performance pruefen
Run 123;Final Placed Rooms;16;
Run 123;Open Sockets Pre-Cap;7;
Run 123;Error Cause;None;
Run 124;Varianten-ID;HighControl;
Run 124;Success / Failure;true;Success
Run 124;Gesamtdauer ms;2211,994;teuer, Performance pruefen
Run 124;Final Placed Rooms;23;
Run 124;Open Sockets Pre-Cap;11;
Run 124;Error Cause;None;
Run 125;Varianten-ID;HighControl;
Run 125;Success / Failure;true;Success
Run 125;Gesamtdauer ms;2152,922;teuer, Performance pruefen
Run 125;Final Placed Rooms;23;
Run 125;Open Sockets Pre-Cap;11;
Run 125;Error Cause;None;
Run 126;Varianten-ID;HighControl;
Run 126;Success / Failure;true;Success
Run 126;Gesamtdauer ms;2067,793;teuer, Performance pruefen
Run 126;Final Placed Rooms;23;
Run 126;Open Sockets Pre-Cap;11;
Run 126;Error Cause;None;
Run 127;Varianten-ID;HighControl;
Run 127;Success / Failure;true;Success
Run 127;Gesamtdauer ms;1920,248;teuer, Performance pruefen
Run 127;Final Placed Rooms;23;
Run 127;Open Sockets Pre-Cap;11;
Run 127;Error Cause;None;
Run 128;Varianten-ID;HighControl;
Run 128;Success / Failure;true;Success
Run 128;Gesamtdauer ms;1626,407;teuer, Performance pruefen
Run 128;Final Placed Rooms;23;
Run 128;Open Sockets Pre-Cap;11;
Run 128;Error Cause;None;
Run 129;Varianten-ID;HighControl;
Run 129;Success / Failure;true;Success
Run 129;Gesamtdauer ms;1532,826;teuer, Performance pruefen
Run 129;Final Placed Rooms;23;
Run 129;Open Sockets Pre-Cap;11;
Run 129;Error Cause;None;
Run 130;Varianten-ID;HighControl;
Run 130;Success / Failure;true;Success
Run 130;Gesamtdauer ms;1372,993;teuer, Performance pruefen
Run 130;Final Placed Rooms;23;
Run 130;Open Sockets Pre-Cap;11;
Run 130;Error Cause;None;
Run 131;Varianten-ID;HighControl;
Run 131;Success / Failure;true;Success
Run 131;Gesamtdauer ms;1267,243;teuer, Performance pruefen
Run 131;Final Placed Rooms;23;
Run 131;Open Sockets Pre-Cap;11;
Run 131;Error Cause;None;
Run 132;Varianten-ID;HighControl;
Run 132;Success / Failure;true;Success
Run 132;Gesamtdauer ms;1161,472;teuer, Performance pruefen
Run 132;Final Placed Rooms;23;
Run 132;Open Sockets Pre-Cap;11;
Run 132;Error Cause;None;
Run 133;Varianten-ID;HighControl;
Run 133;Success / Failure;true;Success
Run 133;Gesamtdauer ms;998,252;spuerbar, aber fuer Offline-Generierung brauchbar
Run 133;Final Placed Rooms;23;
Run 133;Open Sockets Pre-Cap;11;
Run 133;Error Cause;None;
Run 134;Varianten-ID;HighControl;
Run 134;Success / Failure;true;Success
Run 134;Gesamtdauer ms;857,541;spuerbar, aber fuer Offline-Generierung brauchbar
Run 134;Final Placed Rooms;23;
Run 134;Open Sockets Pre-Cap;11;
Run 134;Error Cause;None;
Run 135;Varianten-ID;HighControl;
Run 135;Success / Failure;true;Success
Run 135;Gesamtdauer ms;648,525;spuerbar, aber fuer Offline-Generierung brauchbar
Run 135;Final Placed Rooms;23;
Run 135;Open Sockets Pre-Cap;11;
Run 135;Error Cause;None;
Run 136;Varianten-ID;HighControl;
Run 136;Success / Failure;true;Success
Run 136;Gesamtdauer ms;578,066;spuerbar, aber fuer Offline-Generierung brauchbar
Run 136;Final Placed Rooms;23;
Run 136;Open Sockets Pre-Cap;11;
Run 136;Error Cause;None;
Run 137;Varianten-ID;HighControl;
Run 137;Success / Failure;true;Success
Run 137;Gesamtdauer ms;433,613;spuerbar, aber fuer Offline-Generierung brauchbar
Run 137;Final Placed Rooms;23;
Run 137;Open Sockets Pre-Cap;11;
Run 137;Error Cause;None;
Run 138;Varianten-ID;HighControl;
Run 138;Success / Failure;true;Success
Run 138;Gesamtdauer ms;251,191;spuerbar, aber fuer Offline-Generierung brauchbar
Run 138;Final Placed Rooms;23;
Run 138;Open Sockets Pre-Cap;11;
Run 138;Error Cause;None;
Run 139;Varianten-ID;HighControl;
Run 139;Success / Failure;true;Success
Run 139;Gesamtdauer ms;2247,77;teuer, Performance pruefen
Run 139;Final Placed Rooms;20;
Run 139;Open Sockets Pre-Cap;14;
Run 139;Error Cause;None;
Run 140;Varianten-ID;HighControl;
Run 140;Success / Failure;true;Success
Run 140;Gesamtdauer ms;2324,608;teuer, Performance pruefen
Run 140;Final Placed Rooms;14;
Run 140;Open Sockets Pre-Cap;6;
Run 140;Error Cause;None;
Run 141;Varianten-ID;HighControl;
Run 141;Success / Failure;true;Success
Run 141;Gesamtdauer ms;2481,682;teuer, Performance pruefen
Run 141;Final Placed Rooms;16;
Run 141;Open Sockets Pre-Cap;7;
Run 141;Error Cause;None;
Run 142;Varianten-ID;HighControl;
Run 142;Success / Failure;true;Success
Run 142;Gesamtdauer ms;2320,704;teuer, Performance pruefen
Run 142;Final Placed Rooms;14;
Run 142;Open Sockets Pre-Cap;4;
Run 142;Error Cause;None;
Run 143;Varianten-ID;HighControl;
Run 143;Success / Failure;true;Success
Run 143;Gesamtdauer ms;2561,647;teuer, Performance pruefen
Run 143;Final Placed Rooms;13;
Run 143;Open Sockets Pre-Cap;6;
Run 143;Error Cause;None;
Run 144;Varianten-ID;HighControl;
Run 144;Success / Failure;true;Success
Run 144;Gesamtdauer ms;2449,178;teuer, Performance pruefen
Run 144;Final Placed Rooms;15;
Run 144;Open Sockets Pre-Cap;7;
Run 144;Error Cause;None;
Run 145;Varianten-ID;HighControl;
Run 145;Success / Failure;true;Success
Run 145;Gesamtdauer ms;2914,673;teuer, Performance pruefen
Run 145;Final Placed Rooms;19;
Run 145;Open Sockets Pre-Cap;15;
Run 145;Error Cause;None;
Run 146;Varianten-ID;HighControl;
Run 146;Success / Failure;true;Success
Run 146;Gesamtdauer ms;2679,292;teuer, Performance pruefen
Run 146;Final Placed Rooms;16;
Run 146;Open Sockets Pre-Cap;7;
Run 146;Error Cause;None;
Run 147;Varianten-ID;HighControl;
Run 147;Success / Failure;true;Success
Run 147;Gesamtdauer ms;2654,355;teuer, Performance pruefen
Run 147;Final Placed Rooms;14;
Run 147;Open Sockets Pre-Cap;5;
Run 147;Error Cause;None;
Run 148;Varianten-ID;HighControl;
Run 148;Success / Failure;true;Success
Run 148;Gesamtdauer ms;2750,749;teuer, Performance pruefen
Run 148;Final Placed Rooms;15;
Run 148;Open Sockets Pre-Cap;10;
Run 148;Error Cause;None;
Run 149;Varianten-ID;HighControl;
Run 149;Success / Failure;true;Success
Run 149;Gesamtdauer ms;2790,122;teuer, Performance pruefen
Run 149;Final Placed Rooms;14;
Run 149;Open Sockets Pre-Cap;7;
Run 149;Error Cause;None;
Run 150;Varianten-ID;HighControl;
Run 150;Success / Failure;true;Success
Run 150;Gesamtdauer ms;3008,188;teuer, Performance pruefen
Run 150;Final Placed Rooms;19;
Run 150;Open Sockets Pre-Cap;8;
Run 150;Error Cause;None;
Run 151;Varianten-ID;HighControl;
Run 151;Success / Failure;true;Success
Run 151;Gesamtdauer ms;2919,263;teuer, Performance pruefen
Run 151;Final Placed Rooms;16;
Run 151;Open Sockets Pre-Cap;8;
Run 151;Error Cause;None;
Run 152;Varianten-ID;HighControl;
Run 152;Success / Failure;true;Success
Run 152;Gesamtdauer ms;2793,077;teuer, Performance pruefen
Run 152;Final Placed Rooms;17;
Run 152;Open Sockets Pre-Cap;9;
Run 152;Error Cause;None;
Run 153;Varianten-ID;HighControl;
Run 153;Success / Failure;true;Success
Run 153;Gesamtdauer ms;2909,024;teuer, Performance pruefen
Run 153;Final Placed Rooms;18;
Run 153;Open Sockets Pre-Cap;12;
Run 153;Error Cause;None;
Run 154;Varianten-ID;HighControl;
Run 154;Success / Failure;true;Success
Run 154;Gesamtdauer ms;2915,562;teuer, Performance pruefen
Run 154;Final Placed Rooms;17;
Run 154;Open Sockets Pre-Cap;9;
Run 154;Error Cause;None;
Run 155;Varianten-ID;HighControl;
Run 155;Success / Failure;true;Success
Run 155;Gesamtdauer ms;2894,252;teuer, Performance pruefen
Run 155;Final Placed Rooms;19;
Run 155;Open Sockets Pre-Cap;10;
Run 155;Error Cause;None;
Run 156;Varianten-ID;HighControl;
Run 156;Success / Failure;true;Success
Run 156;Gesamtdauer ms;3092,884;teuer, Performance pruefen
Run 156;Final Placed Rooms;15;
Run 156;Open Sockets Pre-Cap;8;
Run 156;Error Cause;None;
Run 157;Varianten-ID;HighControl;
Run 157;Success / Failure;true;Success
Run 157;Gesamtdauer ms;3077,219;teuer, Performance pruefen
Run 157;Final Placed Rooms;17;
Run 157;Open Sockets Pre-Cap;9;
Run 157;Error Cause;None;
Run 158;Varianten-ID;HighControl;
Run 158;Success / Failure;true;Success
Run 158;Gesamtdauer ms;3132,121;teuer, Performance pruefen
Run 158;Final Placed Rooms;15;
Run 158;Open Sockets Pre-Cap;8;
Run 158;Error Cause;None;
Run 159;Varianten-ID;HighControl;
Run 159;Success / Failure;true;Success
Run 159;Gesamtdauer ms;2928,678;teuer, Performance pruefen
Run 159;Final Placed Rooms;16;
Run 159;Open Sockets Pre-Cap;5;
Run 159;Error Cause;None;
Run 160;Varianten-ID;HighControl;
Run 160;Success / Failure;true;Success
Run 160;Gesamtdauer ms;2782,862;teuer, Performance pruefen
Run 160;Final Placed Rooms;15;
Run 160;Open Sockets Pre-Cap;7;
Run 160;Error Cause;None;
Run 161;Varianten-ID;HighControl;
Run 161;Success / Failure;true;Success
Run 161;Gesamtdauer ms;2855,297;teuer, Performance pruefen
Run 161;Final Placed Rooms;18;
Run 161;Open Sockets Pre-Cap;10;
Run 161;Error Cause;None;
Run 162;Varianten-ID;HighControl;
Run 162;Success / Failure;true;Success
Run 162;Gesamtdauer ms;2773,545;teuer, Performance pruefen
Run 162;Final Placed Rooms;16;
Run 162;Open Sockets Pre-Cap;9;
Run 162;Error Cause;None;
Run 163;Varianten-ID;HighControl;
Run 163;Success / Failure;true;Success
Run 163;Gesamtdauer ms;2975,741;teuer, Performance pruefen
Run 163;Final Placed Rooms;16;
Run 163;Open Sockets Pre-Cap;9;
Run 163;Error Cause;None;
Run 164;Varianten-ID;HighControl;
Run 164;Success / Failure;true;Success
Run 164;Gesamtdauer ms;2946,619;teuer, Performance pruefen
Run 164;Final Placed Rooms;15;
Run 164;Open Sockets Pre-Cap;7;
Run 164;Error Cause;None;
Run 165;Varianten-ID;HighControl;
Run 165;Success / Failure;true;Success
Run 165;Gesamtdauer ms;2811,233;teuer, Performance pruefen
Run 165;Final Placed Rooms;17;
Run 165;Open Sockets Pre-Cap;10;
Run 165;Error Cause;None;
Run 166;Varianten-ID;HighControl;
Run 166;Success / Failure;true;Success
Run 166;Gesamtdauer ms;3005,97;teuer, Performance pruefen
Run 166;Final Placed Rooms;18;
Run 166;Open Sockets Pre-Cap;13;
Run 166;Error Cause;None;
Run 167;Varianten-ID;HighControl;
Run 167;Success / Failure;true;Success
Run 167;Gesamtdauer ms;2923,833;teuer, Performance pruefen
Run 167;Final Placed Rooms;17;
Run 167;Open Sockets Pre-Cap;10;
Run 167;Error Cause;None;
Run 168;Varianten-ID;HighControl;
Run 168;Success / Failure;true;Success
Run 168;Gesamtdauer ms;2993,44;teuer, Performance pruefen
Run 168;Final Placed Rooms;17;
Run 168;Open Sockets Pre-Cap;12;
Run 168;Error Cause;None;
Run 169;Varianten-ID;HighControl;
Run 169;Success / Failure;true;Success
Run 169;Gesamtdauer ms;2849,884;teuer, Performance pruefen
Run 169;Final Placed Rooms;15;
Run 169;Open Sockets Pre-Cap;7;
Run 169;Error Cause;None;
Run 170;Varianten-ID;HighControl;
Run 170;Success / Failure;true;Success
Run 170;Gesamtdauer ms;3046,428;teuer, Performance pruefen
Run 170;Final Placed Rooms;17;
Run 170;Open Sockets Pre-Cap;10;
Run 170;Error Cause;None;
Run 171;Varianten-ID;HighControl;
Run 171;Success / Failure;true;Success
Run 171;Gesamtdauer ms;2973,992;teuer, Performance pruefen
Run 171;Final Placed Rooms;16;
Run 171;Open Sockets Pre-Cap;6;
Run 171;Error Cause;None;
Run 172;Varianten-ID;HighControl;
Run 172;Success / Failure;true;Success
Run 172;Gesamtdauer ms;2774,664;teuer, Performance pruefen
Run 172;Final Placed Rooms;17;
Run 172;Open Sockets Pre-Cap;6;
Run 172;Error Cause;None;
Run 173;Varianten-ID;HighControl;
Run 173;Success / Failure;true;Success
Run 173;Gesamtdauer ms;2820,502;teuer, Performance pruefen
Run 173;Final Placed Rooms;16;
Run 173;Open Sockets Pre-Cap;8;
Run 173;Error Cause;None;
Run 174;Varianten-ID;HighControl;
Run 174;Success / Failure;true;Success
Run 174;Gesamtdauer ms;2805,478;teuer, Performance pruefen
Run 174;Final Placed Rooms;16;
Run 174;Open Sockets Pre-Cap;7;
Run 174;Error Cause;None;
Run 175;Varianten-ID;HighControl;
Run 175;Success / Failure;true;Success
Run 175;Gesamtdauer ms;2839,959;teuer, Performance pruefen
Run 175;Final Placed Rooms;21;
Run 175;Open Sockets Pre-Cap;11;
Run 175;Error Cause;None;
Run 176;Varianten-ID;HighControl;
Run 176;Success / Failure;true;Success
Run 176;Gesamtdauer ms;2687,252;teuer, Performance pruefen
Run 176;Final Placed Rooms;21;
Run 176;Open Sockets Pre-Cap;11;
Run 176;Error Cause;None;
Run 177;Varianten-ID;HighControl;
Run 177;Success / Failure;true;Success
Run 177;Gesamtdauer ms;2561,733;teuer, Performance pruefen
Run 177;Final Placed Rooms;21;
Run 177;Open Sockets Pre-Cap;11;
Run 177;Error Cause;None;
Run 178;Varianten-ID;HighControl;
Run 178;Success / Failure;true;Success
Run 178;Gesamtdauer ms;2295,619;teuer, Performance pruefen
Run 178;Final Placed Rooms;21;
Run 178;Open Sockets Pre-Cap;11;
Run 178;Error Cause;None;
Run 179;Varianten-ID;HighControl;
Run 179;Success / Failure;true;Success
Run 179;Gesamtdauer ms;2142,271;teuer, Performance pruefen
Run 179;Final Placed Rooms;21;
Run 179;Open Sockets Pre-Cap;11;
Run 179;Error Cause;None;
Run 180;Varianten-ID;HighControl;
Run 180;Success / Failure;true;Success
Run 180;Gesamtdauer ms;1912,062;teuer, Performance pruefen
Run 180;Final Placed Rooms;21;
Run 180;Open Sockets Pre-Cap;11;
Run 180;Error Cause;None;
Run 181;Varianten-ID;HighControl;
Run 181;Success / Failure;true;Success
Run 181;Gesamtdauer ms;1736,828;teuer, Performance pruefen
Run 181;Final Placed Rooms;21;
Run 181;Open Sockets Pre-Cap;11;
Run 181;Error Cause;None;
Run 182;Varianten-ID;HighControl;
Run 182;Success / Failure;true;Success
Run 182;Gesamtdauer ms;1556,082;teuer, Performance pruefen
Run 182;Final Placed Rooms;21;
Run 182;Open Sockets Pre-Cap;11;
Run 182;Error Cause;None;
Run 183;Varianten-ID;HighControl;
Run 183;Success / Failure;true;Success
Run 183;Gesamtdauer ms;1284,434;teuer, Performance pruefen
Run 183;Final Placed Rooms;21;
Run 183;Open Sockets Pre-Cap;11;
Run 183;Error Cause;None;
Run 184;Varianten-ID;HighControl;
Run 184;Success / Failure;true;Success
Run 184;Gesamtdauer ms;1073,242;teuer, Performance pruefen
Run 184;Final Placed Rooms;21;
Run 184;Open Sockets Pre-Cap;11;
Run 184;Error Cause;None;
Run 185;Varianten-ID;HighControl;
Run 185;Success / Failure;true;Success
Run 185;Gesamtdauer ms;812,059;spuerbar, aber fuer Offline-Generierung brauchbar
Run 185;Final Placed Rooms;21;
Run 185;Open Sockets Pre-Cap;11;
Run 185;Error Cause;None;
Run 186;Varianten-ID;HighControl;
Run 186;Success / Failure;true;Success
Run 186;Gesamtdauer ms;575,079;spuerbar, aber fuer Offline-Generierung brauchbar
Run 186;Final Placed Rooms;21;
Run 186;Open Sockets Pre-Cap;11;
Run 186;Error Cause;None;
Run 187;Varianten-ID;HighControl;
Run 187;Success / Failure;true;Success
Run 187;Gesamtdauer ms;508,906;spuerbar, aber fuer Offline-Generierung brauchbar
Run 187;Final Placed Rooms;21;
Run 187;Open Sockets Pre-Cap;11;
Run 187;Error Cause;None;
Run 188;Varianten-ID;HighControl;
Run 188;Success / Failure;true;Success
Run 188;Gesamtdauer ms;391,553;spuerbar, aber fuer Offline-Generierung brauchbar
Run 188;Final Placed Rooms;21;
Run 188;Open Sockets Pre-Cap;11;
Run 188;Error Cause;None;
Run 189;Varianten-ID;HighControl;
Run 189;Success / Failure;true;Success
Run 189;Gesamtdauer ms;228,892;unproblematisch
Run 189;Final Placed Rooms;21;
Run 189;Open Sockets Pre-Cap;11;
Run 189;Error Cause;None;
Run 190;Varianten-ID;HighControl;
Run 190;Success / Failure;true;Success
Run 190;Gesamtdauer ms;1148,687;teuer, Performance pruefen
Run 190;Final Placed Rooms;23;
Run 190;Open Sockets Pre-Cap;11;
Run 190;Error Cause;None;
Run 191;Varianten-ID;HighControl;
Run 191;Success / Failure;true;Success
Run 191;Gesamtdauer ms;1013,388;teuer, Performance pruefen
Run 191;Final Placed Rooms;23;
Run 191;Open Sockets Pre-Cap;11;
Run 191;Error Cause;None;
Run 192;Varianten-ID;HighControl;
Run 192;Success / Failure;true;Success
Run 192;Gesamtdauer ms;784,382;spuerbar, aber fuer Offline-Generierung brauchbar
Run 192;Final Placed Rooms;23;
Run 192;Open Sockets Pre-Cap;11;
Run 192;Error Cause;None;
Run 193;Varianten-ID;HighControl;
Run 193;Success / Failure;true;Success
Run 193;Gesamtdauer ms;590,553;spuerbar, aber fuer Offline-Generierung brauchbar
Run 193;Final Placed Rooms;23;
Run 193;Open Sockets Pre-Cap;11;
Run 193;Error Cause;None;
Run 194;Varianten-ID;HighControl;
Run 194;Success / Failure;true;Success
Run 194;Gesamtdauer ms;349,47;spuerbar, aber fuer Offline-Generierung brauchbar
Run 194;Final Placed Rooms;23;
Run 194;Open Sockets Pre-Cap;11;
Run 194;Error Cause;None;
Run 195;Varianten-ID;HighControl;
Run 195;Success / Failure;true;Success
Run 195;Gesamtdauer ms;220,105;unproblematisch
Run 195;Final Placed Rooms;23;
Run 195;Open Sockets Pre-Cap;11;
Run 195;Error Cause;None;
Run 196;Varianten-ID;HighControl;
Run 196;Success / Failure;true;Success
Run 196;Gesamtdauer ms;797,617;spuerbar, aber fuer Offline-Generierung brauchbar
Run 196;Final Placed Rooms;27;
Run 196;Open Sockets Pre-Cap;14;
Run 196;Error Cause;None;
Run 197;Varianten-ID;HighControl;
Run 197;Success / Failure;true;Success
Run 197;Gesamtdauer ms;677,591;spuerbar, aber fuer Offline-Generierung brauchbar
Run 197;Final Placed Rooms;27;
Run 197;Open Sockets Pre-Cap;14;
Run 197;Error Cause;None;
Run 198;Varianten-ID;HighControl;
Run 198;Success / Failure;true;Success
Run 198;Gesamtdauer ms;455,182;spuerbar, aber fuer Offline-Generierung brauchbar
Run 198;Final Placed Rooms;27;
Run 198;Open Sockets Pre-Cap;14;
Run 198;Error Cause;None;
Run 199;Varianten-ID;HighControl;
Run 199;Success / Failure;true;Success
Run 199;Gesamtdauer ms;367,973;spuerbar, aber fuer Offline-Generierung brauchbar
Run 199;Final Placed Rooms;27;
Run 199;Open Sockets Pre-Cap;14;
Run 199;Error Cause;None;
Run 200;Varianten-ID;HighControl;
Run 200;Success / Failure;true;Success
Run 200;Gesamtdauer ms;328,056;spuerbar, aber fuer Offline-Generierung brauchbar
Run 200;Final Placed Rooms;27;
Run 200;Open Sockets Pre-Cap;14;
Run 200;Error Cause;None;
Run 201;Varianten-ID;HighControl;
Run 201;Success / Failure;true;Success
Run 201;Gesamtdauer ms;2717,269;teuer, Performance pruefen
Run 201;Final Placed Rooms;18;
Run 201;Open Sockets Pre-Cap;9;
Run 201;Error Cause;None;
Run 202;Varianten-ID;HighControl;
Run 202;Success / Failure;true;Success
Run 202;Gesamtdauer ms;2709,572;teuer, Performance pruefen
Run 202;Final Placed Rooms;15;
Run 202;Open Sockets Pre-Cap;5;
Run 202;Error Cause;None;
Run 203;Varianten-ID;HighControl;
Run 203;Success / Failure;true;Success
Run 203;Gesamtdauer ms;2855,749;teuer, Performance pruefen
Run 203;Final Placed Rooms;14;
Run 203;Open Sockets Pre-Cap;5;
Run 203;Error Cause;None;
Run 204;Varianten-ID;HighControl;
Run 204;Success / Failure;true;Success
Run 204;Gesamtdauer ms;2793,528;teuer, Performance pruefen
Run 204;Final Placed Rooms;17;
Run 204;Open Sockets Pre-Cap;10;
Run 204;Error Cause;None;
Run 205;Varianten-ID;HighControl;
Run 205;Success / Failure;true;Success
Run 205;Gesamtdauer ms;2785,398;teuer, Performance pruefen
Run 205;Final Placed Rooms;18;
Run 205;Open Sockets Pre-Cap;10;
Run 205;Error Cause;None;
Run 206;Varianten-ID;HighControl;
Run 206;Success / Failure;true;Success
Run 206;Gesamtdauer ms;2770,586;teuer, Performance pruefen
Run 206;Final Placed Rooms;17;
Run 206;Open Sockets Pre-Cap;10;
Run 206;Error Cause;None;
Run 207;Varianten-ID;HighControl;
Run 207;Success / Failure;true;Success
Run 207;Gesamtdauer ms;2831,107;teuer, Performance pruefen
Run 207;Final Placed Rooms;13;
Run 207;Open Sockets Pre-Cap;6;
Run 207;Error Cause;None;
Run 208;Varianten-ID;HighControl;
Run 208;Success / Failure;true;Success
Run 208;Gesamtdauer ms;3045,746;teuer, Performance pruefen
Run 208;Final Placed Rooms;17;
Run 208;Open Sockets Pre-Cap;11;
Run 208;Error Cause;None;
Run 209;Varianten-ID;HighControl;
Run 209;Success / Failure;true;Success
Run 209;Gesamtdauer ms;2796,591;teuer, Performance pruefen
Run 209;Final Placed Rooms;19;
Run 209;Open Sockets Pre-Cap;10;
Run 209;Error Cause;None;
Run 210;Varianten-ID;HighControl;
Run 210;Success / Failure;true;Success
Run 210;Gesamtdauer ms;2792,06;teuer, Performance pruefen
Run 210;Final Placed Rooms;16;
Run 210;Open Sockets Pre-Cap;9;
Run 210;Error Cause;None;
Run 211;Varianten-ID;HighControl;
Run 211;Success / Failure;true;Success
Run 211;Gesamtdauer ms;2750,139;teuer, Performance pruefen
Run 211;Final Placed Rooms;14;
Run 211;Open Sockets Pre-Cap;6;
Run 211;Error Cause;None;
Run 212;Varianten-ID;HighControl;
Run 212;Success / Failure;true;Success
Run 212;Gesamtdauer ms;3021,03;teuer, Performance pruefen
Run 212;Final Placed Rooms;17;
Run 212;Open Sockets Pre-Cap;11;
Run 212;Error Cause;None;
Run 213;Varianten-ID;HighControl;
Run 213;Success / Failure;true;Success
Run 213;Gesamtdauer ms;3082,362;teuer, Performance pruefen
Run 213;Final Placed Rooms;16;
Run 213;Open Sockets Pre-Cap;7;
Run 213;Error Cause;None;
Run 214;Varianten-ID;HighControl;
Run 214;Success / Failure;true;Success
Run 214;Gesamtdauer ms;3027,906;teuer, Performance pruefen
Run 214;Final Placed Rooms;18;
Run 214;Open Sockets Pre-Cap;10;
Run 214;Error Cause;None;
Run 215;Varianten-ID;HighControl;
Run 215;Success / Failure;true;Success
Run 215;Gesamtdauer ms;2976,713;teuer, Performance pruefen
Run 215;Final Placed Rooms;17;
Run 215;Open Sockets Pre-Cap;8;
Run 215;Error Cause;None;
